descripcion,tipo,metal,piedra,quilates,estado,costo,proveedor_o_consignante,fecha_adquisicion,notas,_fila_origen,_confianza,_nota,_pregunta_pendiente
Juego aretes y Anillo An52,anillo,Oro blanco 14k,Aguamarinas y diamantes negros,,consignacion,60000,Tío Fer (joyería local),,Peso 35.5g | Precio Ellion 120000 | Diamantes: Aguamarinas y diamantes negros | Img A12.jpeg,Inventario/Batch Jefa Local Joyeria/R106,alta,,
Pulsera An53,material,Oro Blanco 14k,Diamantitos,,consignacion,60000,Tío Fer (joyería local),,Peso 21.4g | Precio Ellion 120000 | Diamantes: Diamantitos | Img A119.jpeg,Inventario/Batch Jefa Local Joyeria/R107,alta,,
Pulsera An54,material,Oro Blanco 18k,Diamantes forma corazón,,consignacion,62000,Tío Fer (joyería local),,Peso 23.7g | Precio Ellion 124000 | Diamantes: Diamantes forma corazón | Img A126.jpeg,Inventario/Batch Jefa Local Joyeria/R108,alta,,
Anillo An55,anillo,Oro blanco 18k,3.5ct diamantes,,consignacion,63000,Tío Fer (joyería local),,Peso 12.8g | Precio Ellion 126000 | Diamantes: 3.5ct diamantes | Img A78.jpeg,Inventario/Batch Jefa Local Joyeria/R109,alta,,
Pulsera y aretes Ar34,material,Oro blanco 14k,Con zafiros y brillantes,,consignacion,65000,Tío Fer (joyería local),,Peso 33.1g | Precio Ellion 130000 | Diamantes: Con zafiros y brillantes | Img A49.jpeg,Inventario/Batch Jefa Local Joyeria/R110,alta,,
Pulsera Pu1,material,Oro Blanco18k,Piedras de color con diamante,,consignacion,70000,Tío Fer (joyería local),,Peso 20.4g | Precio Ellion 140000 | Diamantes: Piedras de color con diamante | Img A110.jpeg,Inventario/Batch Jefa Local Joyeria/R111,alta,,
Aretes anillo Pu2,anillo,Oro amarillo 14k,4.5ct diamantes cabochon zafiro,,consignacion,70600,Tío Fer (joyería local),,Peso 19g | Precio Ellion 142000 | Diamantes: 4.5ct diamantes cabochon zafiro | Img A30.jpeg,Inventario/Batch Jefa Local Joyeria/R112,alta,,
Aretes Pu3,material,Oro amarillo 14k,"Medias perlas, cabochon rubies, 0.72ct brillantes",,consignacion,72000,Tío Fer (joyería local),,"Peso 37g | Precio Ellion 144000 | Diamantes: Medias perlas, cabochon rubies, 0.72ct brillantes | Img A4.jpeg",Inventario/Batch Jefa Local Joyeria/R113,alta,,
Pulsera Pu4,material,Oro Blanco 18k,Diamante y Rubí,,consignacion,73000,Tío Fer (joyería local),,Peso 24.8g | Precio Ellion 146000 | Diamantes: Diamante y Rubí | Img A118.jpeg,Inventario/Batch Jefa Local Joyeria/R114,alta,,
Pulsera Pu5,material,Oro Rosado 18k,Piedras de colores,,consignacion,75000,Tío Fer (joyería local),,Peso 25.6g | Precio Ellion 150000 | Diamantes: Piedras de colores | Img A117.jpeg,Inventario/Batch Jefa Local Joyeria/R115,alta,,
Arete Pu6,material,Oro Amarillo 14k,Diamantes,,consignacion,80000,Tío Fer (joyería local),,Peso 34g | Precio Ellion 160000 | Diamantes: Diamantes | Img A109.jpeg,Inventario/Batch Jefa Local Joyeria/R116,alta,,
Anillo Pu7,anillo,Oro blanco 18k,"Diamante central, 1.10ct K, VS1",,consignacion,85000,Tío Fer (joyería local),,"Peso 4.5g | Precio Ellion 170000 | Diamantes: Diamante central, 1.10ct K, VS1 | Img A70.jpeg",Inventario/Batch Jefa Local Joyeria/R117,alta,,
Pulsera Pu8,material,Oro Blanco 18k,Con brillantitos,,consignacion,85000,Tío Fer (joyería local),,Peso 14.3g | Precio Ellion 170000 | Diamantes: Con brillantitos | Img A125.jpeg,Inventario/Batch Jefa Local Joyeria/R118,alta,,
Anillo Pu9,anillo,Oro Blanco 18k,5ct brillantes,,consignacion,92800,Tío Fer (joyería local),,Peso 24.4g | Precio Ellion 186000 | Diamantes: 5ct brillantes | Img A84.jpeg,Inventario/Batch Jefa Local Joyeria/R119,alta,,
Aretes y Dije Pu10,material,Oro blanco 18k,Perlas y diamantes,,consignacion,100000,Tío Fer (joyería local),,Peso 48g | Precio Ellion 200000 | Diamantes: Perlas y diamantes | Img A21.jpeg,Inventario/Batch Jefa Local Joyeria/R120,alta,,
Pulsera Pu11,material,Oro Blanco y Amarillo 14k,5.5ct brillantes,,consignacion,100000,Tío Fer (joyería local),,Peso 22g | Precio Ellion 200000 | Diamantes: 5.5ct brillantes | Img A112.jpeg,Inventario/Batch Jefa Local Joyeria/R121,alta,,
Aretes Pu12,material,Oro blanco 18k,3ct aprox brillantes,,consignacion,101000,Tío Fer (joyería local),,Peso 40.7g | Precio Ellion 202000 | Diamantes: 3ct aprox brillantes | Img A1.jpg,Inventario/Batch Jefa Local Joyeria/R122,alta,,
Pulsera Pu13,material,Oro Amarillo 14k,2ct brillantes,,consignacion,126000,Tío Fer (joyería local),,Peso 58g | Precio Ellion 252000 | Diamantes: 2ct brillantes | Img A111.jpeg,Inventario/Batch Jefa Local Joyeria/R123,alta,,
Arracadas Pu14,material,Oro blanco 18k,8.5ct diamantes,,consignacion,128800,Tío Fer (joyería local),,Peso 26g | Precio Ellion 258000 | Diamantes: 8.5ct diamantes | Img A13.jpeg,Inventario/Batch Jefa Local Joyeria/R124,alta,,
Pulsera Pu15,material,Oro Amarillo 14k,Tennis con diamantes princess,,consignacion,143000,Tío Fer (joyería local),,Peso 24.8g | Precio Ellion 270000 | Diamantes: Tennis con diamantes princess | Img A122.jpeg,Inventario/Batch Jefa Local Joyeria/R125,alta,,
Aretes Pu16,material,Oro amarillo 18k,"Dos brillantes 1.2ct, dos peras .40ct",,consignacion,200000,Tío Fer (joyería local),,"Peso 6g | Precio Ellion 400000 | Diamantes: Dos brillantes 1.2ct, dos peras .40ct | Img A43.jpeg",Inventario/Batch Jefa Local Joyeria/R126,alta,,
Anillo Pu17,anillo,Oro blanco 18k,"Tipo ballerina Brillante 2ct central, brillantes halo trapecios y redondos",,consignacion,215000,Tío Fer (joyería local),,"Peso 8.8g | Precio Ellion 430000 | Diamantes: Tipo ballerina Brillante 2ct central, brillantes halo trapecios y redondos | Img A34.jpeg",Inventario/Batch Jefa Local Joyeria/R127,alta,,
Gargantilla y Pulsera Pu18,material,Oro blanco 18k,4ct diamante aprox,,consignacion,216601,Tío Fer (joyería local),,Peso 100.88g | Precio Ellion 434000 | Diamantes: 4ct diamante aprox | Img A20.jpeg,Inventario/Batch Jefa Local Joyeria/R128,alta,,
Anillo terminado A104 - Personalizado solitario Princess,anillo,Oro 14k Blanco,Princess,1.96,disponible,,,,Personalizado solitario Princess 1.96ct D VVS1 Excelente | Cert LG669476537 CVD | Precio 45k,Inventario/Anillos/R3,media,Posible duplicado de una piedra del inventario maestro (match por certificado),Q-ITEM
Anillo terminado A101 - Personalizado pavé Emerald,anillo,Oro 14k Blanco,Emerald,1.58,disponible,,,,Personalizado pavé Emerald 1.58ct D VVS1 Excelente | Cert LG687552383 CVD | Precio 40k,Inventario/Anillos/R4,media,Posible duplicado de una piedra del inventario maestro (match por certificado),Q-ITEM
Anillo terminado A103 - Personalizado solitario Round,anillo,Oro 14k Blanco,Round,1.56,disponible,,,,Personalizado solitario Round 1.56ct D VVS1 Ideal | Cert LG689570766 HPHT | Precio 35k,Inventario/Anillos/R5,media,Posible duplicado de una piedra del inventario maestro (match por certificado),Q-ITEM
Anillo terminado A106 - Personalizado pavé Princess,anillo,Oro 14k Blanco,Princess,1.53,disponible,,,,Personalizado pavé Princess 1.53ct D VVS1 Excelente | Cert LG669424552 CVD | Precio 40k,Inventario/Anillos/R6,media,Posible duplicado de una piedra del inventario maestro (match por certificado),Q-ITEM
